iso3,year,var,value
BEL,2022,unemployment_total_pct,5.57
BEL,2023,gdp_pc_ppp_const2021,62920.6444340936
BEL,2023,gdp_pc_ppp_current,69059.1768269112
BEL,2023,gini,26.8
BEL,2023,inflation_cpi_annual_pct,4.04901077613945
BEL,2023,ppp_conv_gdp_lcu_per_intl$,0.732409
BEL,2023,unemployment_total_pct,5.528
BEL,2024,gdp_pc_ppp_const2021,63083.1843669076
BEL,2024,gdp_pc_ppp_current,72126.0028888089
BEL,2024,inflation_cpi_annual_pct,3.14349136500037
BEL,2024,ppp_conv_gdp_lcu_per_intl$,0.716744
BEL,2024,unemployment_total_pct,5.488
BEN,2019,gdp_pc_ppp_const2021,3281.10470051465
BEN,2019,gdp_pc_ppp_current,3148.97969597838
BEN,2019,inflation_cpi_annual_pct,0.732849371241047
BEN,2019,ppp_conv_gdp_lcu_per_intl$,210.404876708984
BEN,2019,unemployment_total_pct,1.214
BEN,2020,gdp_pc_ppp_const2021,3317.8597222557
BEN,2020,gdp_pc_ppp_current,3244.58772756805
BEN,2020,inflation_cpi_annual_pct,3.02272119663757
BEN,2020,ppp_conv_gdp_lcu_per_intl$,212.435317993164
BEN,2020,unemployment_total_pct,1.502
BEN,2021,gdp_pc_ppp_const2021,3464.2886286745
BEN,2021,gdp_pc_ppp_current,3464.2886286745
BEN,2021,gini,34.4
BEN,2021,inflation_cpi_annual_pct,1.73353962694033
BEN,2021,ppp_conv_gdp_lcu_per_intl$,211.106674194336
BEN,2021,unemployment_total_pct,1.779
BEN,2022,gdp_pc_ppp_const2021,3588.32519938147
